date,score,rosters,cost,prize,entries
5/2/2025,240.9,25,4,,
5/3/2025,255.9,150,3,,
5/4/2025,262.9,150,3,,
5/5/2025,209.6,18,555,,
5/6/2025,256.9,46,222,,
5/7/2025,177.7,6,555,,
5/8/2025,191.4,6,555,,
5/9/2025,264.6,18,555,,
5/10/2025,292.9,150,3,,
5/11/2025,235.6,150,3,,
5/12/2025,222.4,18,555,,
5/13/2025,221,30,333,,
5/14/2025,193.2,6,555,,
5/15/2025,173.8,3,333,,
5/16/2025,233.1,18,555,,
5/17/2025,319.8,150,3,,
5/18/2025,255.1,150,3,,
5/19/2025,217.3,18,555,,
5/20/2025,226.3,27,555,,
5/21/2025,241.4,9,555,,
5/24/2025,251.9,150,3,,
5/25/2025,222,150,3,,
5/26/2025,212.1,150,3,,
5/27/2025,252.2,66,150,,
5/29/2025,262.7,6,555,,
5/30/2025,232.1,30,333,,
5/31/2025,364.4,150,3,,
6/1/2025,205.3,6,555,,
6/2/2025,271.9,18,555,,
6/3/2025,240.7,46,222,,
6/4/2025,192.7,9,555,,
6/5/2025,221.3,5,333,,
6/6/2025,206.6,18,555,,
6/7/2025,257.1,150,3,,
6/8/2025,283.9,150,3,,
6/9/2025,227.3,18,555,,
6/10/2025,256.2,30,333,,
6/11/2025,263.4,6,555,,
6/12/2025,186.7,5,333,,
6/13/2025,196.7,6,555,,
6/14/2025,177.6,79,9,,
6/16/2025,200.6,18,555,,
6/17/2025,252.3,30,333,,
6/18/2025,248.8,150,3,,
6/19/2025,196,150,3,,
6/20/2025,286.1,18,555,,
6/21/2025,292.9,150,3,,
6/22/2025,265.6,150,3,,
6/23/2025,266.3,18,555,,
6/26/2025,157.7,3,555,,
6/27/2025,268.1,18,555,,
6/29/2025,229.2,6,555,,
6/30/2025,262.7,30,333,,
7/1/2025,237.3,150,3,,
7/2/2025,218.1,15,444,,
7/3/2025,212.3,5,333,,
7/4/2025,286.5,150,3,,
7/5/2025,267,150,3,,
7/7/2025,227.5,18,555,,
7/9/2025,256.2,9,555,,
7/10/2025,192.4,9,555,,
7/11/2025,246.9,18,555,,
7/13/2025,246.1,6,555,,
7/18/2025,303.7,150,0.05,,
7/19/2025,256.2,150,3,,
7/20/2025,248.6,150,3,,
7/21/2025,215,18,555,,
7/22/2025,225.1,30,333,,
7/23/2025,251.4,6,333,,
7/24/2025,258.6,25,2.22,,
7/25/2025,245.1,,,,
7/26/2025,228,,,,
7/27/2025,218.4,150,,,
7/28/2025,228.5,,,,
7/29/2025,229.8,,,,
7/30/2025,185.6,,,,
7/31/2025,225.9,,,,
8/1/2025,302,,,,
8/2/2025,244.3,,,,
8/3/2025,253.4,,,,
8/4/2025,263.1,,,,
8/5/2025,287.1,,,,
8/6/2025,220.9,,,,
8/7/2025,220.5,,,,
8/8/2025,249.2,,,,
8/9/2025,224.7,,,,
8/10/2025,257.1,,,,
8/11/2025,216.8,,,,
8/12/2025,274.3,,,,
8/13/2025,275.5,,,,
8/14/2025,198.5,,,,
8/15/2025,233.4,,,,
8/16/2025,256.5,,,,
8/17/2025,216.4,,,,
8/18/2025,251.1,,,,
8/19/2025,276.4,,,,
8/20/2025,213.1,,,,
8/21/2025,195,,,,
8/22/2025,259.4,,,,
8/23/2025,264.6,,,,
8/24/2025,235.6,,,,
8/25/2025,225.5,,,,
8/26/2025,226.8,,,,
8/27/2025,307,,,,
8/28/2025,295.2,,,,
8/29/2025,253.3,,,,
8/30/2025,220.6,,,,
8/31/2025,197.9,,,,
9/1/2025,180.4,,,,
9/2/2025,203.7,,,,
9/3/2025,211.8,,,,
9/4/2025,249.9,,,,
9/5/2025,217.2,,,,
9/6/2025,242.2,,,,
9/7/2025,210.1,,,,
9/8/2025,239.4,25,2.22,,
9/9/2025,253.1,25,4,1000,2976
9/10/2025,209.3,79,9,5000,2645
9/11/2025,243,119,9,5000,3968
9/12/2025,241.8,25,4,1000,1782
9/13/2025,264.3,150,3,4000,7936
9/14/2025,175.2,5,2.22,500,268
9/15/2025,217.2,142,3,3000,4761
9/16/2025,252.6,25,4,2000,2380
9/17/2025,245.9,25,4,1000,2083
9/18/2025,183.9,150,3,3000,5952
9/19/2025,256.8,25,4,1000,1782
9/20/2025,217.5,150,3,4000,7936
9/21/2025,165.2,5,2.22,50,268
9/22/2025,235.7,150,3,3000,5952
9/23/2025,193.4,25,4,2000,2380
9/24/2025,247.3,25,4,1000,1782
9/25/2025,230.5,150,3,3000,5952
9/26/2025,227.8,25,4,2000,2380
9/27/2025,194.1,150,3,4000,7910
9/28/2025,212.7,47,3,1000,1587
