cbs_id,name,date,team,opp,home,game,starter,W,L,IP,H,R,ER,BB,SO,HR
530362,justin-verlander,2025-03-29,SF,CIN,0,0,1,0,0,5.0,6,2,2,1,5,1
530362,justin-verlander,2025-04-04,SF,SEA,1,0,1,0,0,2.1,5,3,3,2,2,1
530362,justin-verlander,2025-04-09,SF,CIN,1,0,1,0,0,5.2,5,6,5,3,9,0
530362,justin-verlander,2025-04-15,SF,PHI,0,0,1,0,1,5.2,8,4,4,3,1,1
530362,justin-verlander,2025-04-20,SF,LAA,0,0,1,0,0,6.0,2,1,1,2,6,1
530362,justin-verlander,2025-04-25,SF,TEX,1,0,1,0,1,6.0,5,2,2,1,5,0
530362,justin-verlander,2025-05-01,SF,COL,1,0,1,0,0,6.1,5,2,2,1,4,1
530362,justin-verlander,2025-05-06,SF,CHC,0,0,1,0,0,5.0,5,3,3,2,3,1
530362,justin-verlander,2025-05-12,SF,ARI,1,0,1,0,1,6.0,9,2,2,1,5,2
530362,justin-verlander,2025-05-18,SF,ATH,1,0,1,0,0,4.0,3,2,2,5,1,0
530362,justin-verlander,2025-06-18,SF,CLE,1,0,1,0,1,4.2,7,4,3,1,6,1
530362,justin-verlander,2025-06-24,SF,MIA,1,0,1,0,1,5.0,5,3,3,1,5,0
530362,justin-verlander,2025-06-29,SF,CHW,0,0,1,0,0,6.0,5,1,1,2,3,0
530362,justin-verlander,2025-07-04,SF,ATH,0,0,1,0,1,3.0,7,6,6,1,5,0
530362,justin-verlander,2025-07-09,SF,PHI,1,0,1,0,1,6.0,7,4,2,0,7,1
530362,justin-verlander,2025-07-18,SF,TOR,0,0,1,0,1,2.2,9,4,4,2,0,0
530362,justin-verlander,2025-07-23,SF,ATL,0,0,1,1,0,5.0,1,0,0,5,3,0
530362,justin-verlander,2025-07-29,SF,PIT,1,0,1,0,0,5.0,6,1,1,1,7,1
530362,justin-verlander,2025-08-04,SF,PIT,0,0,1,0,0,5.0,3,1,0,1,4,0
530362,justin-verlander,2025-08-10,SF,WAS,1,0,1,0,1,5.0,11,5,5,1,6,1
530362,justin-verlander,2025-08-16,SF,TB,1,0,1,0,0,7.0,2,0,0,0,8,0
530362,justin-verlander,2025-08-21,SF,SD,0,0,1,0,1,4.1,7,7,7,1,4,0
530362,justin-verlander,2025-08-26,SF,CHC,1,0,1,1,0,6.0,7,2,2,2,5,0
530362,justin-verlander,2025-08-31,SF,BAL,1,0,1,1,0,5.0,3,0,0,4,10,0
530362,justin-verlander,2025-09-06,SF,STL,0,0,1,0,0,6.0,3,0,0,0,6,0
530362,justin-verlander,2025-09-12,SF,LAD,1,0,1,0,0,7.0,4,1,1,4,4,1
530362,justin-verlander,2025-09-17,SF,ARI,0,0,1,0,0,7.0,3,0,0,2,3,0
530362,justin-verlander,2025-09-22,SF,STL,1,0,1,0,1,4.1,9,6,4,2,3,1
530362,justin-verlander,2025-09-27,SF,COL,1,0,1,1,0,6.0,5,2,2,1,7,2
555244,rich-hill,2025-07-22,KC,CHC,0,0,1,0,1,5.0,6,3,1,2,1,0
555244,rich-hill,2025-07-28,KC,ATL,1,0,1,0,1,4.0,3,4,4,6,3,2
1098908,jesse-chavez,2025-03-31,ATL,LAD,0,0,0,0,0,2.0,2,1,1,2,1,1
1098908,jesse-chavez,2025-04-25,ATL,ARI,0,0,0,0,0,1.0,2,1,1,1,2,0
1098908,jesse-chavez,2025-07-08,ATL,ATH,0,0,0,0,0,3.0,4,2,2,1,4,2
1098908,jesse-chavez,2025-07-13,ATL,STL,0,0,0,0,1,2.0,6,4,4,1,1,1
1208718,kenley-jansen,2025-03-29,LAA,CHW,0,0,0,0,0,1.0,0,0,0,1,2,0
1208718,kenley-jansen,2025-03-30,LAA,CHW,0,0,0,0,0,1.0,1,0,0,1,0,0
1208718,kenley-jansen,2025-04-01,LAA,STL,0,0,0,0,0,1.0,0,0,0,0,1,0
1208718,kenley-jansen,2025-04-06,LAA,CLE,1,0,0,0,0,1.0,0,0,0,0,1,0
1208718,kenley-jansen,2025-04-08,LAA,TB,0,0,0,0,0,1.0,2,0,0,0,2,0
1208718,kenley-jansen,2025-04-12,LAA,HOU,0,0,0,0,0,1.0,1,0,0,0,1,0
1208718,kenley-jansen,2025-04-18,LAA,SF,1,0,0,0,0,1.0,0,0,0,0,0,0
1208718,kenley-jansen,2025-04-24,LAA,PIT,1,0,0,0,0,1.0,1,0,0,0,1,0
1208718,kenley-jansen,2025-05-02,LAA,DET,1,0,0,0,1,0.2,6,6,6,0,1,3
1208718,kenley-jansen,2025-05-03,LAA,DET,1,0,0,0,0,0.2,0,0,0,0,0,0
1208718,kenley-jansen,2025-05-09,LAA,BAL,1,0,0,0,0,0.2,1,0,0,0,0,0
1208718,kenley-jansen,2025-05-12,LAA,SD,0,0,0,0,0,1.0,0,0,0,0,2,0
1208718,kenley-jansen,2025-05-13,LAA,SD,0,0,0,0,1,0.0,1,2,2,1,0,1
1208718,kenley-jansen,2025-05-16,LAA,LAD,0,0,0,0,0,1.0,1,0,0,0,1,0
1208718,kenley-jansen,2025-05-17,LAA,LAD,0,0,0,0,0,1.1,1,0,0,0,0,0
1208718,kenley-jansen,2025-05-19,LAA,ATH,0,0,0,0,0,1.0,1,0,0,0,1,0
1208718,kenley-jansen,2025-05-20,LAA,ATH,0,0,0,0,0,1.0,2,1,1,0,2,0
1208718,kenley-jansen,2025-05-23,LAA,MIA,1,0,0,0,0,1.0,0,0,0,2,1,0
1208718,kenley-jansen,2025-05-30,LAA,CLE,0,0,0,0,0,1.0,1,1,1,2,0,0
1208718,kenley-jansen,2025-06-02,LAA,BOS,0,0,0,0,0,1.0,0,0,0,0,1,0
1208718,kenley-jansen,2025-06-03,LAA,BOS,0,0,0,1,0,1.0,0,0,0,2,1,0
1208718,kenley-jansen,2025-06-06,LAA,SEA,1,0,0,0,0,1.0,0,0,0,0,1,0
1208718,kenley-jansen,2025-06-07,LAA,SEA,1,0,0,0,0,1.0,1,1,1,0,0,1
1208718,kenley-jansen,2025-06-09,LAA,ATH,1,0,0,0,0,0.1,0,0,0,0,0,0
1208718,kenley-jansen,2025-06-10,LAA,ATH,1,0,0,0,0,1.0,1,0,0,0,0,0
1208718,kenley-jansen,2025-06-15,LAA,BAL,0,0,0,0,0,1.0,2,2,2,0,3,1
1208718,kenley-jansen,2025-06-16,LAA,NYY,0,0,0,0,0,1.0,1,0,0,0,2,0
1208718,kenley-jansen,2025-06-18,LAA,NYY,0,0,0,0,0,1.0,0,0,0,0,1,0
1208718,kenley-jansen,2025-06-20,LAA,HOU,1,0,0,0,0,1.0,2,0,0,0,0,0
1208718,kenley-jansen,2025-06-23,LAA,BOS,1,0,0,0,0,0.0,0,0,0,0,0,0
1208718,kenley-jansen,2025-06-24,LAA,BOS,1,0,0,0,0,1.0,0,0,0,1,0,0
1208718,kenley-jansen,2025-06-29,LAA,WAS,1,0,0,0,0,1.0,2,1,1,1,1,0
1208718,kenley-jansen,2025-07-01,LAA,ATL,0,0,0,0,0,1.0,1,0,0,0,2,0
1208718,kenley-jansen,2025-07-04,LAA,TOR,0,0,0,0,0,1.0,0,0,0,0,2,0
1208718,kenley-jansen,2025-07-05,LAA,TOR,0,0,0,0,0,1.0,0,0,0,0,3,0
1208718,kenley-jansen,2025-07-07,LAA,TEX,1,0,0,1,0,1.0,0,0,0,0,1,0
1208718,kenley-jansen,2025-07-09,LAA,TEX,1,0,0,0,0,1.0,1,0,0,0,1,0
1208718,kenley-jansen,2025-07-11,LAA,ARI,1,0,0,1,0,1.0,1,0,0,0,0,0
1208718,kenley-jansen,2025-07-18,LAA,PHI,0,0,0,0,0,1.0,0,0,0,0,0,0
1208718,kenley-jansen,2025-07-25,LAA,SEA,1,0,0,0,0,1.0,0,0,0,0,0,0
1208718,kenley-jansen,2025-07-27,LAA,SEA,1,0,0,0,0,1.0,0,0,0,0,2,0
1208718,kenley-jansen,2025-07-28,LAA,TEX,1,0,0,0,0,1.1,0,0,0,0,1,0
1208718,kenley-jansen,2025-07-29,LAA,TEX,1,0,0,0,0,1.0,1,0,0,0,1,0
1208718,kenley-jansen,2025-08-03,LAA,CHW,1,0,0,1,0,1.0,1,0,0,1,0,0
