player,team,salary,value,plateAppearances,runs,hits,singles,doubles,triples,homeRuns,runsBattedIn,stolenBases,caughtStealing,walks,strikeouts,battingAverage,onBasePercentage,sluggingPercentage,onBasePlusSlugging,fantasy,gameInfo
Eugenio Suarez,Arizona Diamondbacks,$3200,2.5,4.19,0.61,0.69,0.48,0.13,0.05,0.05,0.42,0.02,0,0.35,1.32,0.183,0.259,0.293,0.552,8,NYM @ ARI
Francisco Lindor,New York Mets,$3700,3.73,4.85,0.88,1.2,0.83,0.2,0.01,0.18,0.75,0.17,0.02,0.36,0.8,0.274,0.338,0.453,0.791,13.8,NYM @ ARI
Jesse Winker,New York Mets,$2700,3.59,4.52,0.52,1.01,0.7,0.24,0.06,0.05,0.41,0.07,0,0.48,1.11,0.254,0.337,0.388,0.725,9.7,NYM @ ARI
Brandon Nimmo,New York Mets,$3200,3.34,4.29,0.56,0.93,0.62,0.19,0.01,0.14,0.69,0.05,0.01,0.45,1.02,0.247,0.33,0.425,0.755,10.7,NYM @ ARI
Lourdes Gurriel,Arizona Diamondbacks,$2700,3.37,4.08,0.46,0.94,0.69,0.17,0.02,0.1,0.5,0.11,0.01,0.22,0.84,0.246,0.289,0.386,0.675,9.1,NYM @ ARI
Juan Soto,New York Mets,$3700,2.97,4.74,0.63,0.99,0.65,0.17,0.01,0.19,0.53,0.02,0,0.55,0.89,0.237,0.328,0.426,0.754,11,NYM @ ARI
Jeff McNeil,New York Mets,$2700,3.44,4.07,0.6,0.87,0.53,0.25,0,0.1,0.5,0.04,0.01,0.33,0.61,0.241,0.308,0.395,0.703,9.3,NYM @ ARI
Pete Alonso,New York Mets,$4300,2.74,4.63,0.65,0.93,0.45,0.24,0.01,0.25,0.67,0,0,0.47,1.13,0.228,0.313,0.476,0.789,11.8,NYM @ ARI
Josh Naylor,Arizona Diamondbacks,$3000,3.7,4.31,0.63,1.09,0.76,0.26,0.02,0.11,0.61,0.08,0,0.36,0.52,0.281,0.342,0.455,0.797,11.1,NYM @ ARI
Pavin Smith,Arizona Diamondbacks,$2800,3.32,4.42,0.48,0.85,0.54,0.23,0,0.12,0.48,0.03,0,0.41,1.29,0.218,0.305,0.382,0.687,9.3,NYM @ ARI
Geraldo Perdomo,Arizona Diamondbacks,$3600,2.75,4.53,0.57,0.97,0.74,0.16,0.04,0.05,0.4,0.15,0.04,0.45,0.82,0.248,0.339,0.36,0.699,9.9,NYM @ ARI
Jose Herrera,Arizona Diamondbacks,$2500,2.52,3.75,0.33,0.73,0.54,0.13,0.01,0.08,0.27,0,0,0.28,0.8,0.213,0.272,0.339,0.611,6.3,NYM @ ARI
Alek Thomas,Arizona Diamondbacks,$2600,2.62,3.97,0.38,0.66,0.51,0.12,0,0.06,0.39,0.06,0.04,0.25,0.94,0.181,0.241,0.272,0.512,6.8,NYM @ ARI
Corbin Carroll,Arizona Diamondbacks,$4000,3.13,4.64,0.69,1.08,0.68,0.26,0.03,0.16,0.65,0.16,0.04,0.37,1.08,0.26,0.323,0.466,0.789,12.5,NYM @ ARI
Mark Vientos,New York Mets,$3000,3.8,4.4,0.61,0.97,0.56,0.22,0.02,0.21,0.67,0,0.01,0.42,1.33,0.25,0.327,0.488,0.815,11.4,NYM @ ARI
Francisco Alvarez,New York Mets,$2900,3.17,4.18,0.49,0.87,0.6,0.14,0.02,0.12,0.58,0.01,0.01,0.39,1.09,0.235,0.31,0.385,0.695,9.2,NYM @ ARI
Luisangel Acuna,New York Mets,$2500,3.28,3.96,0.46,0.87,0.61,0.18,0.03,0.07,0.56,0.01,0.01,0.22,0.79,0.236,0.281,0.368,0.649,8.2,NYM @ ARI
