Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
117427-16960,P,Zack,Zack Wheeler,Wheeler,44.63636363636363,11,11000,ATL@PHI,PHI,ATL,,,,Yes,,P
117427-52185,P,Max,Max Fried,Fried,41.36363636363637,11,11000,NYY@LAA,NYY,LAA,,,,,,P
117427-119340,P,Tarik,Tarik Skubal,Skubal,43.54545454545455,11,10800,SF@DET,DET,SF,,,,,,P
117427-135977,P,Garrett,Garrett Crochet,Crochet,41.083333333333336,12,10800,BOS@MIL,BOS,MIL,,,,,,P
117427-197980,P,Paul,Paul Skenes,Skenes,37.45454545454545,11,10800,PIT@ARI,PIT,ARI,,,,Yes,,P
117427-146687,P,Hunter,Hunter Brown,Brown,43,11,10700,ATH@HOU,HOU,ATH,,,,,,P
117427-198625,P,Yoshinobu,Yoshinobu Yamamoto,Yamamoto,39.90909090909091,11,10600,LAD@CLE,LAD,CLE,,,,,,P
117427-102330,P,Kris,Kris Bubic,Bubic,40.36363636363637,11,10600,CIN@KC,KC,CIN,,,,,,P
117427-79280,P,Jesus,Jesus Luzardo,Luzardo,40.18181818181818,11,10500,ATL@PHI,PHI,ATL,,,,,,P
117427-52859,P,Jacob,Jacob deGrom,deGrom,33.18181818181818,11,10500,TOR@TEX,TEX,TOR,,,,,,P
117427-12477,P,Chris,Chris Sale,Sale,34.36363636363637,11,10400,ATL@PHI,ATL,PHI,,,,,,P
117427-13233,P,Nathan,Nathan Eovaldi,Eovaldi,37.25,12,10400,TOR@TEX,TEX,TOR,DTD,Triceps,,,,P
117427-187194,P,Bryan,Bryan Woo,Woo,38.2,10,10400,WSH@SEA,SEA,WSH,,,,,,P
117427-53029,P,Robbie,Robbie Ray,Ray,37.54545454545455,11,10400,SF@DET,SF,DET,,,,,,P
117427-102396,P,Logan,Logan Gilbert,Gilbert,34.833333333333336,6,10400,WSH@SEA,SEA,WSH,IL,Elbow,,,,P
117427-83152,P,Pablo,Pablo Lopez,Lopez,34.55555555555556,9,10300,MIN@TB,MIN,TB,,,,Yes,,P
117427-82550,P,Hunter,Hunter Greene,Greene,37.77777777777778,9,10200,CIN@KC,CIN,KC,,,,Yes,,P
117427-52183,P,Tyler,Tyler Glasnow,Glasnow,21.2,5,10200,LAD@CLE,LAD,CLE,IL,Shoulder,,,,P
117427-101839,P,Logan,Logan Webb,Webb,38.75,12,10200,SF@DET,SF,DET,,,,,,P
117427-85599,P,Framber,Framber Valdez,Valdez,34.27272727272727,11,10200,ATH@HOU,HOU,ATH,,,,,,P
117427-60633,P,Carlos,Carlos Rodon,Rodon,40.916666666666664,12,10100,NYY@LAA,NYY,LAA,,,,,,P
117427-118225,P,Cristopher,Cristopher Sanchez,Sanchez,34.4,10,10100,ATL@PHI,PHI,ATL,,,,,,P
117427-117232,P,Michael,Michael King,King,34.3,10,10000,MIA@SD,SD,MIA,IL,Shoulder,,,,P
117427-68488,P,Blake,Blake Snell,Snell,19.5,2,10000,LAD@CLE,LAD,CLE,IL,Shoulder,,,,P
117427-119430,P,Joe,Joe Ryan,Ryan,36.81818181818182,11,9900,MIN@TB,MIN,TB,,,,,,P
117427-83190,P,Freddy,Freddy Peralta,Peralta,31.90909090909091,11,9900,BOS@MIL,MIL,BOS,,,,Yes,,P
117427-185606,P,Gavin,Gavin Stone,Stone,28.4,25,9900,LAD@CLE,LAD,CLE,IL,Shoulder,,,,P
117427-60647,P,Aaron,Aaron Nola,Nola,24.555555555555557,9,9900,ATL@PHI,PHI,ATL,IL,Ankle,,,,P
117427-82635,P,MacKenzie,MacKenzie Gore,Gore,39.09090909090909,11,9800,WSH@SEA,WSH,SEA,,,,,,P
117427-79270,P,Cole,Cole Ragans,Ragans,33.77777777777778,9,9800,CIN@KC,KC,CIN,IL,Groin,,,,P
117427-16961,P,Jameson,Jameson Taillon,Taillon,28.454545454545453,11,9700,COL@CHC,CHC,COL,,,,,,P
117427-82604,P,Corbin,Corbin Burnes,Burnes,34.2,10,9700,PIT@ARI,ARI,PIT,,,,,,P
117427-63136,P,Matthew,Matthew Boyd,Boyd,31.9,10,9700,COL@CHC,CHC,COL,,,,Yes,,P
117427-83157,P,Ranger,Ranger Suarez,Suarez,38.8,5,9600,ATL@PHI,PHI,ATL,,,,,,P
117427-182153,P,Kodai,Kodai Senga,Senga,34.2,10,9600,CWS@NYM,NYM,CWS,,,,,,P
117427-79951,P,Nick,Nick Pivetta,Pivetta,36.1,10,9600,MIA@SD,SD,MIA,,,,,,P
117427-79232,P,Clay,Clay Holmes,Holmes,30.454545454545453,11,9500,CWS@NYM,NYM,CWS,,,,,,P
117427-85253,P,Casey,Casey Mize,Mize,34.375,8,9500,SF@DET,DET,SF,,,,,,P
117427-102294,P,Grayson,Grayson Rodriguez,Rodriguez,35.6,20,9500,STL@BAL,BAL,STL,IL,Lat,,,,P
117427-79091,P,Dylan,Dylan Cease,Cease,29.545454545454547,11,9400,MIA@SD,SD,MIA,,,,,,P
117427-165512,P,Andrew,Andrew Abbott,Abbott,33.125,8,9400,CIN@KC,CIN,KC,,,,,,P
117427-198362,P,Stephen,Stephen Kolek,Kolek,29.6,5,9400,MIA@SD,SD,MIA,,,,,,P
117427-219697,P,Noah,Noah Cameron,Cameron,37.333333333333336,3,9400,CIN@KC,KC,CIN,,,,Yes,,P
117427-11328,P,Martin,Martin Perez,Perez,26.75,4,9400,CWS@NYM,CWS,NYM,IL,Elbow,,,,P
117427-101881,P,Merrill,Merrill Kelly,Kelly,31.363636363636363,11,9400,PIT@ARI,ARI,PIT,,,,,,P
117427-165551,P,Reese,Reese Olson,Olson,31.88888888888889,9,9300,SF@DET,DET,SF,IL,Finger,,,,P
117427-198885,P,Spencer,Spencer Arrighetti,Arrighetti,22.5,2,9300,ATH@HOU,HOU,ATH,IL,Thumb,,,,P
117427-219653,P,Logan,Logan Henderson,Henderson,40,4,9300,BOS@MIL,MIL,BOS,,,,,,P
117427-102407,P,Shane,Shane McClanahan,McClanahan,0,1,9200,MIN@TB,TB,MIN,IL,Triceps,,,,P
117427-82554,P,Shane,Shane Bieber,Bieber,58,5,9200,LAD@CLE,CLE,LAD,IL,Elbow,,,,P
117427-38000,P,Kevin,Kevin Gausman,Gausman,32.18181818181818,11,9200,TOR@TEX,TOR,TEX,,,,,,P
