player,team,winsLosses,salary,value,wins,losses,earnedRunsAvg,gamesStarted,saves,inningsPitched,hits,runs,earnedRuns,homeRuns,walks,strikeouts,walksPlusHitsPerInningsPitched,gamesPlayed,fantasy,gameInfo
Edwin Diaz,New York Mets,0.03-0.04,$5500,0.62,0.03,0.04,2.93,0,0.35,0.66,0.54,0.23,0.21,0.07,0.28,0.62,1.24,,3.4,NYM @ COL
Antonio Senzatela,Colorado Rockies,0.09-0.49,$5800,2.47,0.09,0.49,7.43,1,0,4.96,6.02,4.35,4.09,0.99,1.63,3.37,1.54,,14.3,NYM @ COL
Tyler Kinley,Colorado Rockies,0.01-0.02,$5500,0.18,0.01,0.02,6.11,0,0.15,0.27,0.32,0.2,0.18,0.03,0.17,0.24,1.8,,1,NYM @ COL
Kodai Senga,New York Mets,0.46-0.17,$10600,2.58,0.46,0.17,4.94,1,0,5.46,5.34,3.24,3,0.56,1.73,5.26,1.3,,27.4,NYM @ COL
Josh Hader,Houston Astros,0.03-0.03,$5500,0.45,0.03,0.03,2.41,0,0.27,0.51,0.39,0.15,0.14,0.06,0.15,0.41,1.06,,2.5,HOU @ CLE
Emmanuel Clase,Cleveland Guardians,0.02-0.02,$5500,0.31,0.02,0.02,2.45,0,0.22,0.42,0.32,0.12,0.11,0.01,0.07,0.22,0.93,,1.7,HOU @ CLE
Logan Allen,Cleveland Guardians,0.23-0.38,$7200,3.06,0.23,0.38,5.03,1,0,5.03,5.14,3.07,2.81,0.75,2.18,4.19,1.46,,22,HOU @ CLE
Colton Gordon,Houston Astros,0.35-0.26,$7400,3.41,0.35,0.26,4.24,1,0,5.14,4.96,2.64,2.42,0.95,1.76,4.5,1.31,,25.2,HOU @ CLE
Eduardo Rodriguez,Arizona Diamondbacks,0.29-0.27,$8000,2.79,0.29,0.27,4.72,1,0,4.6,4.16,2.52,2.41,0.7,1.5,4.2,1.23,,22.3,ARI @ CIN
A.J. Puk,Arizona Diamondbacks,0.02-0.02,$5500,0.33,0.02,0.02,3.28,0,0.23,0.43,0.36,0.17,0.16,0.07,0.13,0.28,1.16,,1.8,ARI @ CIN
