player,team,salary,value,plateAppearances,runs,hits,singles,doubles,triples,homeRuns,runsBattedIn,stolenBases,caughtStealing,walks,strikeouts,battingAverage,onBasePercentage,sluggingPercentage,onBasePlusSlugging,fantasy,gameInfo
Christian Yelich,Milwaukee Brewers,$3400,3.79,4.38,0.66,1.08,0.68,0.23,0.04,0.17,0.59,0.26,0.06,0.42,1.22,0.278,0.351,0.496,0.847,12.9,MIA @ MIL
William Contreras,Milwaukee Brewers,$2800,3.04,4.49,0.49,0.83,0.58,0.21,0.01,0.07,0.33,0.05,0.01,0.5,0.92,0.212,0.305,0.334,0.639,8.5,MIA @ MIL
Jesus Sanchez,Miami Marlins,$3000,3.3,4.62,0.49,0.99,0.64,0.23,0.04,0.11,0.44,0.12,0.05,0.33,1.03,0.235,0.295,0.396,0.692,9.9,MIA @ MIL
Andrew Vaughn,Milwaukee Brewers,$2600,3.42,4.05,0.43,0.91,0.61,0.17,0.02,0.15,0.54,0,0.03,0.22,0.78,0.243,0.29,0.429,0.719,8.9,MIA @ MIL
Otto Lopez,Miami Marlins,$2900,3.31,4.51,0.44,0.91,0.71,0.14,0.03,0.08,0.4,0.2,0.07,0.38,0.81,0.228,0.309,0.354,0.663,9.6,MIA @ MIL
Kyle Stowers,Miami Marlins,$3400,3.41,4.39,0.54,1.01,0.55,0.29,0.05,0.19,0.6,0.01,0,0.5,1.33,0.264,0.352,0.535,0.887,11.6,MIA @ MIL
Brice Turang,Milwaukee Brewers,$3100,4.06,4.6,0.79,1.28,1.06,0.22,0.04,0.05,0.36,0.35,0.15,0.43,0.83,0.317,0.381,0.45,0.831,12.6,MIA @ MIL
Joey Ortiz,Milwaukee Brewers,$2400,2.79,3.72,0.33,0.8,0.64,0.16,0,0.03,0.22,0.08,0.04,0.35,0.66,0.246,0.32,0.336,0.656,6.7,MIA @ MIL
Xavier Edwards,Miami Marlins,$2800,3.61,4.73,0.55,1.11,0.98,0.1,0.07,0.02,0.27,0.3,0.07,0.39,0.8,0.265,0.329,0.351,0.68,10.1,MIA @ MIL
Dane Myers,Miami Marlins,$2500,3.52,3.84,0.47,0.86,0.58,0.18,0.03,0.09,0.4,0.15,0.01,0.23,0.95,0.246,0.295,0.402,0.697,8.8,MIA @ MIL
Jackson Chourio,Milwaukee Brewers,$3400,3.15,4.27,0.47,1.04,0.6,0.29,0.05,0.15,0.49,0.16,0.03,0.21,0.93,0.262,0.303,0.483,0.787,10.7,MIA @ MIL
Graham Pauley,Miami Marlins,$2100,3.0,3.95,0.35,0.66,0.49,0.13,0,0.06,0.22,0.02,0.01,0.37,1.18,0.189,0.278,0.291,0.57,6.3,MIA @ MIL
