date,game,retro_id,home,order,starter,team,opp,PA,AB,SAC,HBP,BB,S,D,T,HR,TB,H,SO,RBI,R,CS,SB,fanduel_pts
2022-04-07,0,adamw002,0.0,2.0,1,MIL,CHN,5,5,0,0,0,1,1,0,0,3,2,2,1,0,0,0,12.5
2022-04-07,0,adelj001,1.0,5.0,1,ANA,HOU,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.0
2022-04-07,0,albio001,1.0,5.0,1,ATL,CIN,4,4,0,0,0,1,0,0,0,1,1,1,0,0,0,0,3.0
2022-04-07,0,alonp001,0.0,4.0,1,NYN,WAS,5,4,0,1,0,2,0,0,0,2,2,0,0,1,0,0,12.2
2022-04-07,0,altuj001,0.0,1.0,1,HOU,ANA,5,4,0,0,1,0,0,0,0,0,0,3,0,0,0,1,9.0
2022-04-07,0,alvay001,0.0,4.0,1,HOU,ANA,4,3,0,0,1,0,0,0,1,4,1,0,1,1,0,0,21.7
2022-04-07,0,aquia001,0.0,2.0,1,CIN,ATL,5,5,0,0,0,1,0,0,0,1,1,4,0,1,0,0,6.2
2022-04-07,0,arenn001,1.0,4.0,1,SLN,PIT,5,4,0,0,1,0,0,0,1,4,1,1,2,1,0,0,25.2
2022-04-07,0,badeh001,1.0,8.0,1,SLN,PIT,4,4,0,0,0,1,1,0,0,3,2,0,0,2,0,0,15.4
2022-04-07,0,beers001,1.0,7.0,1,ARI,SDN,4,4,0,0,0,1,0,0,1,5,2,1,3,1,0,0,28.7
2022-04-07,0,bellj005,1.0,4.0,1,WAS,NYN,4,4,0,0,0,1,0,0,0,1,1,1,0,0,0,0,3.0
2022-04-07,0,benia002,1.0,3.0,1,KCA,CLE,4,4,0,0,0,1,0,0,0,1,1,0,1,0,0,0,6.5
2022-04-07,0,bradb002,0.0,5.0,1,CLE,KCA,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2022-04-07,0,branm003,0.0,2.0,1,HOU,ANA,5,5,0,0,0,1,1,0,0,3,2,1,0,1,0,0,12.2
2022-04-07,0,brega001,0.0,3.0,1,HOU,ANA,4,4,0,0,0,1,0,0,1,5,2,0,2,1,0,0,25.2
2022-04-07,0,brosm001,,,0,MIL,CHN,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3.0
2022-04-07,0,cainl001,0.0,8.0,1,MIL,CHN,4,3,1,0,0,0,1,0,0,2,1,1,2,1,0,0,16.2
2022-04-07,0,canhm001,0.0,7.0,1,NYN,WAS,4,3,0,0,1,2,0,0,0,2,2,1,1,1,0,0,15.7
2022-04-07,0,canor001,0.0,6.0,1,NYN,WAS,4,3,0,0,1,2,0,0,0,2,2,0,0,2,0,0,15.4
2022-04-07,0,carav001,,,0,MIL,CHN,1,1,0,0,0,0,1,0,0,2,1,0,0,0,0,0,6.0
2022-04-07,0,carld002,1.0,1.0,1,SLN,PIT,5,3,1,1,0,0,1,0,0,2,1,2,1,2,0,0,18.9
2022-04-07,0,castd004,,,0,PIT,SLN,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
2022-04-07,0,chany001,0.0,6.0,1,CLE,KCA,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0
2022-04-07,0,chavm001,,,0,PIT,SLN,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2022-04-07,0,contw001,1.0,3.0,1,CHN,MIL,4,3,0,1,0,0,0,0,0,0,0,1,0,1,0,0,6.2
2022-04-07,0,cronj001,0.0,3.0,1,SDN,ARI,4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6.0
2022-04-07,0,cruzn002,1.0,3.0,1,WAS,NYN,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
2022-04-07,0,darnt001,1.0,7.0,1,ATL,CIN,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0
2022-04-07,0,davij006,0.0,2.0,1,NYN,WAS,5,4,0,0,1,0,1,0,0,2,1,1,0,1,0,0,12.2
2022-04-07,0,dejop001,1.0,6.0,1,SLN,PIT,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0
2022-04-07,0,dicka001,1.0,8.0,1,ATL,CIN,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2022-04-07,0,dozih001,1.0,6.0,1,KCA,CLE,3,3,0,0,0,0,0,0,0,0,0,1,0,1,1,0,3.2
2022-04-07,0,drurb001,0.0,9.0,1,CIN,ATL,4,4,0,0,0,1,0,0,1,5,2,1,3,1,0,0,28.7
2022-04-07,0,duffm002,1.0,4.0,1,ANA,HOU,3,3,0,0,0,2,0,0,0,2,2,0,0,0,0,0,6.0
2022-04-07,0,duvaa001,1.0,6.0,1,ATL,CIN,4,3,0,0,1,0,0,0,0,0,0,3,0,0,0,0,3.0
2022-04-07,0,edmat001,1.0,9.0,1,SLN,PIT,4,4,0,0,0,0,0,0,1,4,1,1,1,1,0,0,18.7
2022-04-07,0,ellid002,1.0,8.0,1,ARI,SDN,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2022-04-07,0,escoa003,1.0,8.0,1,WAS,NYN,4,4,0,0,0,1,0,0,0,1,1,2,0,0,0,0,3.0
2022-04-07,0,escoe001,0.0,5.0,1,NYN,WAS,5,4,0,0,1,0,1,0,0,2,1,2,0,0,0,0,9.0
