retro_id,team,date,IP,H,R,ER,BB,SO,W,L,QS,fanduel_points,number,starter,opp,home,HR
abreb002,HOU,2025-06-20,1.0,2,0,0,0,2,0,0,0,9.0,0.0,,,,
abreb002,HOU,2025-06-22,1.1,1,0,0,0,3,0,0,0,13.0,0.0,,,,
abreb002,HOU,2025-09-26,0.2,1,0,0,0,0,0,0,0,2.0,0.0,,,,
adamt002,MIN,2025-09-08,1.2,0,0,0,2,4,0,0,0,17.0,0.0,,,,
akink001,BAL,2025-05-09,0.1,0,0,0,0,0,0,0,0,1.0,0.0,,,,
alcaj001,BOS,2025-06-23,0.1,1,0,0,0,1,0,0,0,4.0,0.0,,,,
alcaj001,BOS,2025-06-25,1.0,0,0,0,1,1,0,0,0,6.0,0.0,,,,
alcas001,MIA,2025-05-23,5.1,5,6,5,2,6,0,1,0,19.0,0.0,,,,
aldes001,ANA,2025-07-08,2.0,5,5,5,4,2,0,0,0,-3.0,0.0,,,,
aldes001,ANA,2025-09-23,4.2,7,3,3,2,3,0,1,0,14.0,0.0,,,,
aldes001,ANA,2025-09-28,4.2,7,4,4,3,5,0,1,0,17.0,0.0,,,,
alexj001,HOU,2025-09-26,4.2,4,2,2,1,4,0,0,0,20.0,0.0,,,,
alext001,CHA,2025-08-03,0.0,2,3,3,1,0,0,1,0,-9.0,0.0,,,,
altad001,CHA,2025-08-01,0.1,1,1,1,1,0,0,0,0,-2.0,0.0,,,,
alvae002,ATH,2025-09-05,1.0,0,0,0,0,1,0,0,0,6.0,0.0,,,,
andei001,ANA,2025-04-05,2.0,2,1,1,1,1,0,0,0,6.0,0.0,,,,
andei001,ANA,2025-04-20,1.1,0,1,1,3,1,0,0,0,4.0,0.0,,,,
andei001,ANA,2025-04-22,1.0,3,3,3,1,1,0,0,0,-3.0,0.0,,,,
andes002,ANA,2025-05-09,1.1,2,1,1,1,3,0,0,0,10.0,0.0,,,,
andes002,ANA,2025-05-11,3.1,2,0,0,1,3,0,0,0,19.0,0.0,,,,
andes002,ANA,2025-05-23,1.1,6,4,4,0,1,0,0,0,-5.0,0.0,,,,
andes002,ANA,2025-06-09,0.2,2,2,2,0,0,0,0,0,-4.0,0.0,,,,
andes002,ANA,2025-08-11,0.2,4,4,4,0,1,0,0,0,-7.0,0.0,,,,
andet002,ANA,2025-04-06,5.0,1,2,2,4,5,0,0,0,24.0,0.0,,,,
andet002,ANA,2025-04-18,6.0,3,0,0,2,6,1,0,1,46.0,0.0,,,,
andet002,ANA,2025-04-24,6.0,6,3,3,0,1,0,0,1,16.0,0.0,,,,
andet002,ANA,2025-05-06,6.2,6,2,2,1,7,0,0,1,39.0,0.0,,,,
andet002,ANA,2025-05-11,5.0,4,3,1,2,5,0,1,0,27.0,0.0,,,,
andet002,ANA,2025-05-27,6.0,5,2,1,1,3,0,1,1,28.0,0.0,,,,
andet002,ANA,2025-06-08,4.2,8,3,3,1,6,0,1,0,23.0,0.0,,,,
