mlb,retro,roto,cbs,fanduel
ARI,ARI,ARI,ARI,ARI
ATL,ATL,ATL,ATL,ATL
BAL,BAL,BAL,BAL,BAL
BOS,BOS,BOS,BOS,BOS
CHC,CHN,CHC,CHC,CHC
CHW,CHA,CWS,CHW,CWS
CIN,CIN,CIN,CIN,CIN
CLE,CLE,CLE,CLE,CLE
COL,COL,COL,COL,COL
DET,DET,DET,DET,DET
HOU,HOU,HOU,HOU,HOU
KC,KCA,KC,KC,KC
LAA,ANA,LAA,LAA,LAA
LAD,LAN,LAD,LAD,LAD
MIA,MIA,MIA,MIA,MIA
MIL,MIL,MIL,MIL,MIL
MIN,MIN,MIN,MIN,MIN
NYM,NYN,NYM,NYM,NYM
NYY,NYA,NYY,NYY,NYY
OAK,OAK,ATH,ATH,ATH
PHI,PHI,PHI,PHI,PHI
PIT,PIT,PIT,PIT,PIT
SD,SDN,SD,SD,SD
SEA,SEA,SEA,SEA,SEA
SF,SFN,SF,SF,SF
STL,SLN,STL,STL,STL
TB,TBA,TB,TB,TB
TEX,TEX,TEX,TEX,TEX
TOR,TOR,TOR,TOR,TOR
WAS,WAS,WSH,WAS,WSH
